Pebbles,,,,
A,27495.94,29250.03,18902.16,25216.04333
B,47476,45502,24576,39184.66667
C,52728,48863,33101,44897.33333
D,61523,57162,45312,54665.66667
E,1270,1041,897,1069.333333
F,16390,24190,18853,19811
,,,,
,,,,
A,22918,19610,12441,18323
E,18934,18136,12140,16403.33333
,,,,
,,,,
HyperPebbles,,,,
A,31274,30187,1749,21070
B,44436,41590,42488,42838
C,48398,47160,48818,48125.33333
D,57613,57028,48938,54526.33333
E,30187,794,,15490.5
F,21031,16872,25927,21276.66667
,,,,
,,,,
A,19430,21757,10706,17297.66667
E,23574,9071,6791,13145.33333
,,,,
,,,,
wiredTiger,,,,
A,11453,11135,9336,10641.33333
B,24946,30079,31488,28837.66667
C,38437,33335,32646,34806
D,52798,57706,54097,54867
E,477,514,561,517.3333333
F,10616,9272,8161,9349.666667
,,,,
,,,,
A,34575,26915,29296,30262
E,37618,30833,25395,31282
,,,,
,,,,
Rocks,,,,
A,15250,7746,8897,10631
B,37271,35507,33724,35500.66667
C,46102,45374,44037,45171
D,57907,55355,50926,54729.33333
E,837,718,546,700.3333333
F,NULL,NULL,NULL,#DIV/0!
,,,,
,,,,
A,39947,24399,15444,26596.66667
E,27493,21391,16534,21806